dca_seq,dca_name,relation_seq,dca_avoid_desc,dca_avoid,avoid_seq
1,엘바스비르,1,엘바스비르와 그라조프레비르의 혈장 농도가 유의하게 감소하여 이 약의 바이러스학적 반응 감소 가능,카르바마제핀,466
2,엘바스비르,1,엘바스비르와 그라조프레비르의 혈장 농도가 유의하게 감소하여 이 약의 바이러스학적 반응 감소 가능,카르바마제핀,6074
3,엘바스비르,1,엘바스비르와 그라조프레비르의 혈장 농도가 유의하게 감소하여 이 약의 바이러스학적 반응 감소 가능,세인트존스워트,7556
4,엘바스비르,1,엘바스비르와 그라조프레비르의 혈장 농도가 유의하게 감소하여 이 약의 바이러스학적 반응 감소 가능,세인트존스워트,9979
5,엘바스비르,1,엘바스비르와 그라조프레비르의 혈장 농도가 유의하게 감소하여 이 약의 바이러스학적 반응 감소 가능,세인트존스워트,11445
6,엘바스비르,1,엘바스비르와 그라조프레비르의 혈장 농도가 유의하게 감소하여 이 약의 바이러스학적 반응 감소 가능,세인트존스워트,11693
7,엘바스비르,1,엘바스비르와 그라조프레비르의 혈장 농도가 유의하게 감소하여 이 약의 바이러스학적 반응 감소 가능,세인트존스워트,11959
8,엘바스비르,1,그라조프레비르의 혈장 농도가 유의하게 증가하여 ALT 상승 위험 증가 가능,사이클로스포린,31
9,엘바스비르,1,그라조프레비르의 혈장 농도가 유의하게 증가하여 ALT 상승 위험 증가 가능,사이클로스포린,207
10,엘바스비르,1,그라조프레비르의 혈장 농도가 유의하게 증가하여 ALT 상승 위험 증가 가능,사이클로스포린,2470
11,엘바스비르,1,그라조프레비르의 혈장 농도가 유의하게 증가하여 ALT 상승 위험 증가 가능,사이클로스포린,2536
12,엘바스비르,1,그라조프레비르의 혈장 농도가 유의하게 증가하여 ALT 상승 위험 증가 가능,로피나비르,12253
13,엘바스비르,1,그라조프레비르의 혈장 농도가 유의하게 증가하여 ALT 상승 위험 증가 가능,로피나비르,12254
14,엘바스비르,1,엘바스비르와 그라조프레비르의 혈장 농도가 유의하게 감소하여 이 약의 바이러스학적 반응 감소 가능,에파비렌즈,3012
15,엘바스비르,1,엘바스비르와 그라조프레비르의 혈장 농도가 유의하게 감소하여 이 약의 바이러스학적 반응 감소 가능,리팜피신,99
16,엘바스비르,1,그라조프레비르의 혈장 농도가 유의하게 증가하여 ALT 상승 위험 증가 가능,다루나비르,12134
17,엘바스비르,1,엘바스비르와 그라조프레비르의 혈장 농도가 유의하게 감소하여 이 약의 바이러스학적 반응 감소 가능,페니토인,1011
18,엘바스비르,1,엘바스비르와 그라조프레비르의 혈장 농도가 유의하게 감소하여 이 약의 바이러스학적 반응 감소 가능,페니토인,1012
19,엘바스비르,1,그라조프레비르의 혈장 농도가 유의하게 증가하여 ALT 상승 위험 증가 가능,그라조프레비르,1
20,엘바스비르,1,그라조프레비르의 혈장 농도가 유의하게 증가하여 ALT 상승 위험 증가 가능,그라조프레비르,10055
21,엘바스비르,1,그라조프레비르의 혈장 농도가 유의하게 증가하여 ALT 상승 위험 증가 가능,그라조프레비르,13084
22,이오베르솔,8,급성신부전,메트포르민,6032
23,이오베르솔,8,급성신부전,메트포르민,7213
24,이오베르솔,8,급성신부전,메트포르민,7783
25,이오베르솔,8,급성신부전,메트포르민,9223
26,이오베르솔,8,급성신부전,메트포르민,11385
27,이오베르솔,8,급성신부전,메트포르민,13253
28,이오베르솔,8,급성신부전,메트포르민,13655
29,이오베르솔,8,기능적 신부전에 의해 유산 산성증 촉진,메트포르민,50
30,이오베르솔,8,기능적 신부전에 의해 유산 산성증 촉진,메트포르민,3747
31,이오베르솔,8,기능적 신부전에 의해 유산 산성증 촉진,메트포르민,6032
32,이오베르솔,8,기능적 신부전에 의해 유산 산성증 촉진,메트포르민,7085
33,이오베르솔,8,기능적 신부전에 의해 유산 산성증 촉진,메트포르민,7213
34,이오베르솔,8,기능적 신부전에 의해 유산 산성증 촉진,메트포르민,7265
35,이오베르솔,8,기능적 신부전에 의해 유산 산성증 촉진,메트포르민,7471
36,이오베르솔,8,기능적 신부전에 의해 유산 산성증 촉진,메트포르민,7783
37,이오베르솔,8,기능적 신부전에 의해 유산 산성증 촉진,메트포르민,9223
38,이오베르솔,8,기능적 신부전에 의해 유산 산성증 촉진,메트포르민,9395
39,이오베르솔,8,기능적 신부전에 의해 유산 산성증 촉진,메트포르민,9803
40,이오베르솔,8,기능적 신부전에 의해 유산 산성증 촉진,메트포르민,10516
41,이오베르솔,8,기능적 신부전에 의해 유산 산성증 촉진,메트포르민,11385
42,이오베르솔,8,기능적 신부전에 의해 유산 산성증 촉진,메트포르민,11653
43,이오베르솔,8,기능적 신부전에 의해 유산 산성증 촉진,메트포르민,13249
44,이오베르솔,8,기능적 신부전에 의해 유산 산성증 촉진,메트포르민,13253
45,이오베르솔,8,기능적 신부전에 의해 유산 산성증 촉진,메트포르민,13655
46,이오베르솔,8,기능적 신부전에 의해 유산 산성증 촉진,메트포르민,12411
47,이오베르솔,8,기능적 신부전에 의해 유산 산성증 촉진,메트포르민,4402
48,이오베르솔,8,기능적 신부전에 의해 유산 산성증 촉진,메트포르민,7676
49,이오베르솔,8,기능적 신부전에 의해 유산 산성증 촉진,메트포르민,11961
50,이오베르솔,8,기능적 신부전에 의해 유산 산성증 촉진,메트포르민,614
51,이오베르솔,8,기능적 신부전에 의해 유산 산성증 촉진,메트포르민,13032
52,이오베르솔,8,기능적 신부전에 의해 유산 산성증 촉진,메트포르민,13144
53,이오베르솔,8,기능적 신부전에 의해 유산 산성증 촉진,메트포르민,10802
54,이오베르솔,8,기능적 신부전에 의해 유산 산성증 촉진,메트포르민,1029
55,이오베르솔,8,기능적 신부전에 의해 유산 산성증 촉진,메트포르민,2603
56,이오베르솔,8,기능적 신부전에 의해 유산 산성증 촉진,메트포르민,7611
57,이오베르솔,8,기능적 신부전에 의해 유산 산성증 촉진,메트포르민,12916
58,이오베르솔,8,기능적 신부전에 의해 유산 산성증 촉진,메트포르민,3630
59,이오베르솔,8,기능적 신부전에 의해 유산 산성증 촉진,메트포르민,8536
60,이오베르솔,8,기능적 신부전에 의해 유산 산성증 촉진,메트포르민,12569
61,이오베르솔,8,기능적 신부전에 의해 유산 산성증 촉진,메트포르민,10577
62,이오베르솔,8,기능적 신부전에 의해 유산 산성증 촉진,메트포르민,12822
63,이오베르솔,8,기능적 신부전에 의해 유산 산성증 촉진,메트포르민,13696
64,이오베르솔,8,기능적 신부전에 의해 유산 산성증 촉진,메트포르민,3051
65,이오베르솔,8,기능적 신부전에 의해 유산 산성증 촉진,메트포르민,32
66,이오베르솔,8,기능적 신부전에 의해 유산 산성증 촉진,메트포르민,13938
67,이오베르솔,8,기능적 신부전에 의해 유산 산성증 촉진,메트포르민,14644
68,이오베르솔,8,기능적 신부전에 의해 유산 산성증 촉진,메트포르민,4054
69,이오베르솔,8,기능적 신부전에 의해 유산 산성증 촉진,메트포르민,12070
70,이오베르솔,8,기능적 신부전에 의해 유산 산성증 촉진,메트포르민,14531
71,이오베르솔,8,기능적 신부전에 의해 유산 산성증 촉진,메트포르민,11165
72,이오베르솔,8,기능적 신부전에 의해 유산 산성증 촉진,메트포르민,13091
73,엠트리시타빈,9,,포스페니토인,8571
74,엠트리시타빈,9,,판토프라졸,27
75,엠트리시타빈,9,,라베프라졸,3353
76,엠트리시타빈,9,,페니토인,1011
77,엠트리시타빈,9,,페니토인,1012
78,엠트리시타빈,9,,페노바르비탈,525
79,엠트리시타빈,9,,페노바르비탈,7366
80,엠트리시타빈,9,,에스판토프라졸,5698
81,엠트리시타빈,9,,리팜피신,99
82,엠트리시타빈,9,,덱스란소프라졸,11309
83,엠트리시타빈,9,,란소프라졸,2538
84,엠트리시타빈,9,,란소프라졸,3558
85,엠트리시타빈,9,,카르바마제핀,466
86,엠트리시타빈,9,,카르바마제핀,6074
87,엠트리시타빈,9,,에스오메프라졸,3661
88,엠트리시타빈,9,,에스오메프라졸,4585
89,엠트리시타빈,9,,에스오메프라졸,7587
90,엠트리시타빈,9,,에스오메프라졸,8877
91,엠트리시타빈,9,,에스오메프라졸,10091
92,엠트리시타빈,9,,에스오메프라졸,12260
93,엠트리시타빈,9,,에스오메프라졸,12809
94,엠트리시타빈,9,,일라프라졸,9112
95,엠트리시타빈,9,,일라프라졸,9445
96,엠트리시타빈,9,,오메프라졸,2159
97,엠트리시타빈,9,,오메프라졸,2160
98,엠트리시타빈,9,,오메프라졸,3324
99,엠트리시타빈,9,,오메프라졸,6040
100,엠트리시타빈,9,,옥스카르바제핀,2746
101,엠트리시타빈,9,,레바프라잔,4961
102,엠트리시타빈,9,,레바프라잔,12755
103,엠트리시타빈,9,,세인트존스워트,7556
104,엠트리시타빈,9,,세인트존스워트,9979
105,엠트리시타빈,9,,세인트존스워트,11445
106,엠트리시타빈,9,,세인트존스워트,11693
107,엠트리시타빈,9,,세인트존스워트,11959
108,코비시스타트,9,Cobicistat 및 Elvitegravir의 혈중농도 감소로 치료효과 소실 및 내성 발현 가능,페니토인,1011
109,코비시스타트,9,Cobicistat 및 Elvitegravir의 혈중농도 감소로 치료효과 소실 및 내성 발현 가능,페니토인,1012
110,코비시스타트,9,"Sildenafil 혈중농도 증가, 병용투여 할 경우에는 Sildenafil의 투여용량이 25mg을 초과하지 않도록 하며, 48시간 내 재투여 금지",실데나필,3167
111,코비시스타트,9,"Sildenafil 혈중농도 증가, 병용투여 할 경우에는 Sildenafil의 투여용량이 25mg을 초과하지 않도록 하며, 48시간 내 재투여 금지",실데나필,10776
112,코비시스타트,9,"Sildenafil 혈중농도 증가, 병용투여 할 경우에는 Sildenafil의 투여용량이 25mg을 초과하지 않도록 하며, 48시간 내 재투여 금지",실데나필,10844
113,코비시스타트,9,"Ergometrine 혈중농도 증가, 말초혈관연축 또는 국소빈혈",메틸에르고메트린,1238
114,코비시스타트,9,"Ergometrine 혈중농도 증가, 말초혈관연축 또는 국소빈혈",메틸에르고메트린,7786
115,코비시스타트,9,"Tadalafil 혈중농도 증가, 병용투여 할 경우에는 Tadalafil의 투여용량이 10mg을 초과하지 않도록 하며, 72시간 내 재투여 금지 ",타다라필,3997
116,코비시스타트,9,Amiodarone 혈중농도 증가,아미오다론,25
117,코비시스타트,9,Blonanserin 혈중농도 증가,블로난세린,9818
