medicine_shape_seq,큰제품이미지,표시앞,표시뒤,의약품제형,색상앞,색상뒤
1,,KD,분할선,장방형,하양,
2,,ISP,D분할선T,원형,분홍,
3,,LPT,80,타원형,하양,
4,,SPC,V분할선16,타원형,주황,
5,,ID·5,분할선,장방형,하양,
6,,V분할선8,KK,원형,분홍,
7,,V분할선16,KK,타원형,주황,
8,,DPC,MNF,타원형,하양,
9,,CKD,ES5,원형,하양,
10,,V분할선A,UM,원형,분홍,
11,,YH,G분할선5,장방형,하양,
12,,SJ,V분할선8,원형,분홍,
13,,KDC NTC     8,,장방형,하양,하양
14,,KD분할선VT,160,타원형,주황,
15,,CKDRSD10,,원형,분홍,
16,,AG,MNF,장방형,하양,
17,,분할선,DK25,타원형,하양,
18,,Y분할선H,160,타원형,노랑,
19,,Y분할선H,80,원형,분홍,
20,,R분할선Y,160,타원형,주황,
21,,BT분할선NF,,타원형,하양,
22,,깅코탄,,타원형,초록,
23,,SI LIV,,타원형,갈색,
24,,MNM,,장방형,하양,
25,,ETM,,장방형,하양,
26,,ALC,MFT,장방형,하양,
27,,hw19,350,장방형,하양,
28,,KKM COZ,,장방형,"주황, 투명","주황, 투명"
29,,KD GP,,장방형,투명,
30,,IBN,,장방형,연두,
31,,MM분할선D,,장방형,주황,
32,,Mobic 7.5mg,,장방형,초록,초록
33,,Mobic 15mg,,장방형,초록,노랑
34,,VAL,W분할선I,장방형,하양,
35,,T21,,타원형,파랑,
36,,SC200,,장방형,초록,
37,,Bonelax ER 15mg,,장방형,주황,주황
38,,SZ,10,원형,하양,
39,,SZ,5,원형,하양,
40,,SZ,2.5,원형,하양,
41,,CGP HP,,장방형,연두,
42,,KN HQ,,장방형,갈색,갈색
43,,제로민,,타원형,"청록, 투명",
44,,Hanmi Lipidown         120,,장방형,파랑,파랑
45,,DCD,,타원형,초록,
46,,T32,분할선,장방형,하양,
47,,D-W GT,,타원형,초록,
48,,HS1,,타원형,분홍,
49,,NK,,타원형,분홍,
50,,SJS,,타원형,분홍,
51,,리버플란,,장방형,갈색,
52,,ETX H-L,,장방형,갈색,
53,,N KYUNG DONG,,원형,"하양, 빨강",하양
54,,OGT 918  100,,장방형,하양,하양
55,,SJ DX,,장방형,"청록, 투명",
56,,T36,MO,장방형,하양,
57,,이젠이 이젠이,,장방형,파랑,파랑
58,,BMS,528,타원형,하양,
59,,마크분할선N,25,원형,하양,
60,,마크,분할선,장방형,노랑,
61,,CAZT,,장방형,하양,
62,,ASN KDC,,장방형,노랑,노랑
63,,D-W,AT1,타원형,하양,
64,,W분할선K,R분할선D,타원형,하양,
65,,BR CCL,,장방형,파랑,하양
66,,Hanmi Lipidown         60,,장방형,파랑,파랑
67,,IDPa,,타원형,하양,
68,,SMT50,마크,장방형,분홍,
69,,VD분할선5,마크,팔각형,하양,
70,,S분할선V,마크,원형,분홍,
71,,SOKOL PW,,장방형,"주황, 투명",
72,,쿨드림,,타원형,"청록, 투명",
73,,TG120,,원형,초록,
74,,CKD,150,원형,하양,
75,,C분할선E,,타원형,하양,
76,,m,2.5,원형,하양,
77,,현대약품 마이녹실S,,장방형,빨강,노랑
78,,H분할선C,분할선,장방형,분홍,
79,,실리웰G,,장방형,갈색,
80,,C분할선16,CKD,원형,분홍,
81,,NK DTC,,장방형,파랑,파랑
82,,T7,,원형,분홍,
83,,GHA,,장방형,주황,
84,,RNP,,타원형,"초록, 투명",
85,,HSC,,장방형,주황,
86,,마크,,원형,회색,
87,,5,마크,타원형,주황,
88,,7.5,마크,삼각형,주황,
89,,HN,15,원형,하양,
90,,PEYRON,,장방형,하양,하양
91,,HM,250,장방형,분홍,
92,,JI,A,원형,하양,
93,,마크분할선10,,타원형,하양,
94,,3CZ,분할선,타원형,하양,
95,,K분할선PP,분할선,장방형,주황,
96,,KN2,,장방형,하양,
97,,T7,,원형,하양,
98,,마크SQ,,타원형,갈색,
99,,마크 NF,,장방형,파랑,파랑
100,,BTO,,장방형,자주,
101,,덱시브,,타원형,"초록, 투명",
102,,토코네슘,,장방형,갈색,
103,,RZN,,타원형,"보라, 투명",
104,,PHD471,MOK 5,원형,분홍,
105,,SK,745,타원형,하양,
106,,DWP,LSO,타원형,하양,
107,,RAPAMUNE 2mg,,삼각형,노랑,
108,,L,Y,타원형,하양,
109,,PHD471,MOK 4,타원형,분홍,
110,,ORGANON  ★,MK2,원형,하양,
111,,LPP,IY,타원형,하양,
112,,마크,L2,원형,하양,
113,,AVR,,타원형,하양,
114,,훼리너프F,,장방형,갈색,갈색
115,,QKYUNG DONG,,원형,"하양, 파랑",하양
116,,KRM THP,,장방형,노랑,노랑
117,,KG,분할선,타원형,분홍,
118,,덴탑플러스 덴탑플러스,,장방형,빨강,빨강
119,,A-S,,타원형,"보라, 투명",
120,,XR 150,,장방형,하양,
121,,T,C,원형,하양,
122,,마크,X,마름모형,파랑,
123,,UT,CL,원형,분홍,
124,,S분할선Z,119,타원형,하양,
125,,ECP,,원형,노랑,
126,,마크 NXK,,장방형,하양,하양
127,,마크분할선CS,분할선,타원형,주황,
128,,LVX,250,장방형,분홍,
129,,AJU,AFT,장방형,분홍,
