ingredient_seq,ingredient_code,ingredient_name
1,A000058,그라조프레비르
2,A000126,다사부비르
3,A000183,디멘히드리네이트
4,A000366,미그리톨
5,A000603,셀렉시팍
6,A000660,시메트로퓸
7,A000902,옴비타스비르
8,A000953,이오베르솔
9,A001163,테노포비르
10,A001184,톨터로딘
11,A001192,트로스퓸
12,A001232,티퀴쥼
13,A001241,파리타프레비르
14,A001368,프로피베린
15,A001373,플라복세이트
16,A001483,인슐린글라진
17,A001485,"인슐린글루리신(유전자재조합)(숙주: E.coli K12 I35, 벡터: pINT 362d)"
18,A001486,인슐린데글루덱
19,A001487,"인슐린디터머(숙주: S. Cerevisiae, 벡터: pAK729.6.16-△amp)"
20,A001489,인슐린아스파트
21,A004473,"인슐린리스프로(숙주: 대장균.K12RV308,벡터: pHKY694)"
22,A004571,데스벤라팍신
23,A005022,소타롤
24,A005170,제미플록사신
25,A005259,아미오다론
26,A005274,케토롤락
27,A005386,판토프라졸
28,A005561,엘비테그라비르
29,A005563,벤세라지드
30,A005749,에티닐에스트라디올
31,A005971,시클로스포린
32,A110293,에르투글리플로진L-피로글루탐산
33,C040412,염산에탐부톨
34,C051445,말레인산카르비녹사민
35,C083490,말레인산카르비녹사민서방성과립
36,C090108,카르비녹사민레지네이트
37,C091587,말레인산카르비녹사민과립
38,I000166,부프로피온염산염
39,I000321,말레인산카르비녹사민
40,I000322,L-카르보시스테인
41,I001315,에탐부톨염산염
42,I002379,몬테루카스트나트륨
43,I002439,나프실린나트륨
44,I002518,네비라핀
45,I002674,올메사르탄메독소밀
46,I002961,페니라민아미노살리실레이트
47,I002962,페니라민말레산염
48,I003537,리파부틴
49,I003725,시롤리무스
50,I004369,아토르바스타틴칼슘수화물
51,I004745,헥소프레날린황산염
52,I004994,이르베사르탄
53,I005603,트리아졸람
54,I005610,트리클로르메티아지드
55,I005813,보리코나졸
56,I006203,디펜히드라민탄느산염
57,I009505,s-암로디핀베실산염
58,I009520,네비라핀반수화물
59,I012174,엑세나타이드
60,I012292,아바카비르황산염
61,I012395,에스암로디핀베실산염2.5수화물
62,I012505,에피나스틴염산염
63,I012506,메토프롤롤숙신산염
64,I012607,릭시세나티드
65,I012655,돌루테그라비르나트륨(미분화)
66,I012676,로카세린염산염수화물
67,I012684,"아나글립틴
"
68,I012685,폴마콕시브
69,I012739,사쿠비트릴·발사르탄나트륨염수화물
70,I012745,솔리페나신푸마르산염
71,M000229,캡슐(기제)
72,M002615,알코올제제
73,M002680,용제
74,M003311,생리식염액
75,M003952,스트렙토키나제ㆍ스트렙토도르나제
76,M007111,유당
77,M007113,탈크
78,M007131,정제수
79,M007910,반창고
80,M010010,디프테리아톡소이드
81,M010042,주사용황산엔비오마이신
82,M010048,인적혈구농축액
83,M010053,사람혈액응고제IX인자복합체
84,M010062,사람혈청알부민
85,M010084,파상풍톡소이드
86,M010085,흡착파상풍톡소이드
87,M010107,항파상풍사람면역글로불린
88,M010128,B형간염사람면역글로불린
89,M020001,황산겐타마이신
90,M020004,그리세오풀빈
91,M020005,나프실린나트륨
92,M020009,황산네오마이신
93,M020020,니스타틴
94,M020025,염산독소루비신
95,M020026,독시사이클린
96,M020027,독시사이클린하이클레이트
97,M020029,디클록사실린나트륨
98,M020040,황산리보스타마이신
99,M020042,리팜피신
100,M020043,염산린코마이신
101,M020046,염산메타사이클린
102,M020052,미토마이신씨
103,M020054,바시트라신
104,M020057,염산블레오마이신
105,M020059,세파졸린나트륨
106,M020063,세팔렉신
107,M020068,세팔로틴나트륨
108,M020069,세프라딘
109,M020070,황산스트렙토마이신
110,M020072,스피라마이신
111,M020073,슬베니실린나트륨
112,M020076,시클로세린
113,M020078,삭카린
114,M020079,아목시실린
115,M020080,아목시실린나트륨
116,M020084,아미카신
117,M020085,황산아미카신
